epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5976,1.54405,2.4769,0.00584,0.67069,0.57792,0.65053,0.40632,1.43386,1.51201,0.00643,0.000664021,0.000664021,0.000664021
2,125.783,1.52582,1.53522,0.00576,0.72572,0.63207,0.71114,0.43663,1.52587,1.18377,0.00691,0.00131751,0.00131751,0.00131751
3,173.793,1.54018,1.27687,0.00578,0.76001,0.66556,0.75344,0.48088,1.44147,1.06517,0.00641,0.00195781,0.00195781,0.00195781
4,219.389,1.53357,1.18206,0.00572,0.75998,0.69578,0.77266,0.48343,1.46477,1.00056,0.00669,0.0019406,0.0019406,0.0019406
5,265.244,1.50629,1.12301,0.00568,0.79399,0.69257,0.78211,0.49905,1.48459,0.9305,0.0067,0.0019208,0.0019208,0.0019208
6,312.287,1.49744,1.07375,0.00563,0.79587,0.67648,0.7801,0.49885,1.46078,0.97881,0.00663,0.001901,0.001901,0.001901
7,358.071,1.47952,1.04569,0.00558,0.82518,0.69702,0.80958,0.53265,1.39372,0.88365,0.00614,0.0018812,0.0018812,0.0018812
8,404.899,1.46507,0.99926,0.00541,0.80801,0.72419,0.81784,0.52537,1.41548,0.84943,0.00628,0.0018614,0.0018614,0.0018614
9,452.546,1.46449,0.99859,0.0054,0.81026,0.73019,0.81328,0.53699,1.3767,0.86692,0.00603,0.0018416,0.0018416,0.0018416
10,499.387,1.43813,0.94622,0.00517,0.79488,0.72384,0.8117,0.53246,1.38762,0.87265,0.00606,0.0018218,0.0018218,0.0018218
11,549.333,1.44099,0.93297,0.00528,0.84409,0.72802,0.83611,0.55561,1.35997,0.79177,0.00593,0.001802,0.001802,0.001802
12,597.329,1.42107,0.90758,0.00512,0.8458,0.72227,0.82762,0.55239,1.35708,0.7991,0.00592,0.0017822,0.0017822,0.0017822
13,644.874,1.42595,0.92191,0.00522,0.84196,0.74861,0.84131,0.56235,1.36159,0.75305,0.00585,0.0017624,0.0017624,0.0017624
14,691.158,1.41071,0.90577,0.00517,0.83951,0.72993,0.83101,0.55969,1.35556,0.77095,0.00582,0.0017426,0.0017426,0.0017426
15,736.446,1.41859,0.90329,0.00516,0.83035,0.7416,0.84381,0.5626,1.35936,0.78023,0.00587,0.0017228,0.0017228,0.0017228
16,784.416,1.40714,0.88286,0.00508,0.83042,0.75206,0.8456,0.56472,1.35979,0.74531,0.00583,0.001703,0.001703,0.001703
17,833.902,1.3752,0.85115,0.00494,0.85942,0.72706,0.84524,0.56597,1.3441,0.75337,0.00585,0.0016832,0.0016832,0.0016832
18,881.462,1.40003,0.86362,0.00502,0.85226,0.75118,0.85319,0.56833,1.3641,0.72235,0.00599,0.0016634,0.0016634,0.0016634
19,928.546,1.37791,0.8551,0.00502,0.86032,0.75292,0.85583,0.57528,1.33888,0.69463,0.0057,0.0016436,0.0016436,0.0016436
20,975.084,1.38522,0.85239,0.00493,0.84566,0.77224,0.86019,0.5819,1.32436,0.70763,0.00562,0.0016238,0.0016238,0.0016238
21,1020.44,1.3739,0.83536,0.00486,0.84729,0.7611,0.85931,0.58086,1.31648,0.71143,0.00563,0.001604,0.001604,0.001604
22,1066.12,1.36094,0.83265,0.00489,0.85188,0.77012,0.86345,0.58418,1.31819,0.68659,0.00558,0.0015842,0.0015842,0.0015842
23,1113.56,1.37881,0.83624,0.00489,0.84471,0.7712,0.86249,0.58688,1.29989,0.69018,0.00551,0.0015644,0.0015644,0.0015644
24,1161.2,1.38015,0.82742,0.00476,0.86549,0.76859,0.86793,0.59024,1.29472,0.67728,0.00543,0.0015446,0.0015446,0.0015446
25,1209.27,1.35565,0.82036,0.00486,0.84955,0.76772,0.86717,0.59228,1.29982,0.68093,0.00537,0.0015248,0.0015248,0.0015248
26,1259.21,1.36171,0.82935,0.00479,0.85417,0.76458,0.86671,0.59339,1.28337,0.69238,0.00547,0.001505,0.001505,0.001505
27,1306.34,1.34323,0.80184,0.00471,0.84427,0.78095,0.87164,0.59666,1.28732,0.65651,0.00553,0.0014852,0.0014852,0.0014852
28,1352.5,1.33539,0.79078,0.00471,0.84201,0.78228,0.87586,0.60351,1.26804,0.663,0.00534,0.0014654,0.0014654,0.0014654
29,1398.7,1.33466,0.79236,0.00474,0.8635,0.76775,0.86981,0.59344,1.28071,0.67822,0.00546,0.0014456,0.0014456,0.0014456
30,1448.89,1.32851,0.77605,0.00476,0.85293,0.78466,0.87279,0.59718,1.30226,0.65326,0.00549,0.0014258,0.0014258,0.0014258
